ZIP,EV Network,Latitude,Longitude
11358,ChargePoint Network,40.761116,-73.796478
13078,ChargePoint Network,43.013283,-76.084335
12305,ChargePoint Network,42.814348,-73.939017
10940,ChargePoint Network,41.441713,-74.366615
14617,ChargePoint Network,43.202055,-77.57455
10589,eVgo Network,41.32539,-73.686843
14202,EV Connect,42.885188,-78.875488
14850,Tesla,42.428603,-76.509111
12110,ChargePoint Network,42.71947,-73.75316
13478,ChargePoint Network,43.11505,-75.589165
13420,ChargePoint Network,43.710848,-74.972152
12442,ChargePoint Network,42.205127,-74.212669
10591,Tesla,41.0615,-73.836457
12901,ChargePoint Network,44.698734,-73.48811
12047,ChargePoint Network,42.770966,-73.71627
11738,ChargePoint Network,40.845462,-73.015757
11215,Tesla Destination,40.668403,-73.990389
12164,Tesla Destination,43.495979,-74.360195
10523,ChargePoint Network,41.048086,-73.808495
14011,Blink Network,42.8713,-78.2761
10033,Blink Network,40.848202,-73.935857
11371,ChargePoint Network,40.772977,-73.875474
12205,Electrify America,42.69456,-73.848436
12208,ChargePoint Network,42.654458,-73.773464
12801,ChargePoint Network,43.309433,-73.64638
10065,Tesla Destination,40.766174,-73.966419
14580,Non-Networked,43.205714,-77.476722
12205,ChargePoint Network,42.742672,-73.83933
12010,ChargePoint Network,42.960309,-74.17225
13905,EV Connect,42.11978,-75.912473
12054,ChargePoint Network,42.607437,-73.85094
14203,ChargePoint Network,42.901007,-78.863771
14607,ChargePoint Network,43.153142,-77.598758
14411,ChargePoint Network,43.239445,-78.19818
12518,Tesla Destination,41.429428,-74.028204
12106,ChargePoint Network,42.39481,-73.697553
12866,ChargePoint Network,43.098653,-73.78922
10011,Tesla Destination,40.738352,-73.996519
12901,Tesla Destination,44.69659,-73.49153
10025,Tesla Destination,40.763562,-73.963079
12047,LIVINGSTON,42.777771,-73.683037
12202,ChargePoint Network,42.63788,-73.75896
10460,ChargePoint Network,40.846612,-73.876323
11231,ChargePoint Network,40.671393,-74.011584
14204,ChargePoint Network,42.878372,-78.85775
10028,Tesla Destination,40.772794,-73.946969
11201,Tesla Destination,40.689671,-73.991786
12540,EV Connect,41.656857,-73.789422
12866,Tesla Destination,43.057104,-73.79831
12572,ChargePoint Network,41.926403,-73.909853
12866,Non-Networked,43.057348,-73.804726
10075,Tesla Destination,40.771136,-73.948252
10507,ChargePoint Network,41.23982,-73.699073
10024,Tesla Destination,40.790289,-73.972756
14610,EV Connect,43.14141,-77.574932
11743,EV Connect,40.77177,-73.099184
12305,ChargePoint Network,42.815406,-73.940711
11520,ChargePoint Network,40.654208,-73.569134
10708,ChargePoint Network,40.940563,-73.83538
10034,Tesla Destination,40.867375,-73.924227
14623,ChargePoint Network,43.091965,-77.580734
14607,ChargePoint Network,43.15273,-77.603845
14420,ChargePoint Network,43.215696,-77.937193
13165,Electrify America,42.95593,-76.920965
14837,Tesla Destination,42.519115,-76.922429
14043,Tesla Destination,42.911728,-78.694835
14221,Non-Networked,42.965851,-78.69278
14543,Non-Networked,42.996895,-77.667425
11379,ChargePoint Network,40.711266,-73.89218
12946,ChargePoint Network,44.220365,-73.923881
12561,ChargePoint Network,41.738917,-74.080123
10065,Tesla Destination,40.76389,-73.961892
11729,ChargePoint Network,40.762403,-73.305586
10128,Tesla Destination,40.781961,-73.946209
14225,Non-Networked,42.933441,-78.731633
14214,EV Connect,42.929002,-78.847204
10802,Blink Network,40.912149,-73.778915
12305,ChargePoint Network,42.824279,-73.932023
11590,ChargePoint Network,40.740106,-73.601104
10023,Tesla Destination,40.780143,-73.98221
11769,ChargePoint Network,40.748166,-73.139644
12970,ChargePoint Network,44.448635,-74.25815
13601,ChargePoint Network,43.992677,-75.932725
12419,EV Connect,41.85371,-74.106366
10522,Volta,41.00433,-73.856277
12180,ChargePoint Network,42.731386,-73.669086
12502,ChargePoint Network,42.090954,-73.720052
14222,ChargePoint Network,42.933556,-78.884528
12974,ChargePoint Network,44.048466,-73.460976
12209,ChargePoint Network,42.64623,-73.77293
12946,ChargePoint Network,44.220494,-73.923812
14210,ChargePoint Network,42.875098,-78.847577
14607,ChargePoint Network,43.152205,-77.600897
14701,Blink Network,42.077061,-78.463545
10065,Tesla Destination,40.768032,-73.963983
12065,ChargePoint Network,42.845347,-73.807945
12983,EV Connect,44.324241,-74.131946
14304,ChargePoint Network,43.094737,-78.973192
12203,ChargePoint Network,42.703377,-73.85708
14141,ChargePoint Network,42.508937,-78.659227
14228,ChargePoint Network,42.998864,-78.787049
10538,ChargePoint Network,40.933502,-73.74707
11373,Tesla,40.735082,-73.87067
12814,ChargePoint Network,43.55704,-73.645096
14203,ChargePoint Network,42.901752,-78.867471
12189,ChargePoint Network,42.73302,-73.72589
14210,ChargePoint Network,42.875107,-78.847268
12997,ChargePoint Network,44.359205,-73.858698
12305,ChargePoint Network,42.814021,-73.934518
11217,Tesla Destination,40.683295,-73.973753
12804,ChargePoint Network,43.328762,-73.666275
12477,EV Connect,42.110368,-73.958599
13790,ChargePoint Network,42.114,-75.95731
10567,ChargePoint Network,41.308408,-73.87682
14614,ChargePoint Network,43.155933,-77.614075
10463,Tesla Destination,40.8799,-73.907762
12308,ChargePoint Network,42.822031,-73.932021
13210,ChargePoint Network,43.034968,-76.13403
10463,Tesla Destination,40.878611,-73.914792
12211,ChargePoint Network,42.683434,-73.76655
10010,Tesla Destination,40.737362,-73.980167
14075,ChargePoint Network,42.773708,-78.861556
11948,Non-Networked,40.968038,-72.562787
12946,ChargePoint Network,44.220483,-73.923765
12303,ChargePoint Network,42.769329,-73.928738
